ts_date,name_city,name_zone,price_contract
2023-04-01,São Paulo,Norte,6181.81818181818
2023-04-01,São Paulo,Oeste,6346.15384615385
2023-04-01,São Paulo,Sul,5977.804878048781
2023-07-01,Belo Horizonte,Centro Sul,5775
2023-07-01,Belo Horizonte,Leste,4952.729430379744
2023-07-01,Belo Horizonte,Nordeste,4863.5444743935295
2023-07-01,Belo Horizonte,Noroeste,3807.69230769231
2023-07-01,Belo Horizonte,Norte,3387.09677419355
2023-07-01,Belo Horizonte,Oeste,5047.61904761905
2023-07-01,Belo Horizonte,Pampulha,4315.78947368421
2023-07-01,Rio de Janeiro,Centro,4228.78787878788
2023-07-01,Rio de Janeiro,Norte,4324.32432432432
2023-07-01,Rio de Janeiro,Oeste,4791.66666666667
2023-07-01,Rio de Janeiro,Sul,9863.63636363636
2023-07-01,São Paulo,Centro,6750
2023-07-01,São Paulo,Centro Oeste,10262.13813540005
2023-07-01,São Paulo,Centro Sul,9142.85714285714
2023-07-01,São Paulo,Leste I,6433.955223880595
2023-07-01,São Paulo,Leste II,4901.76470588235
2023-07-01,São Paulo,Norte,5964.91228070176
2023-07-01,São Paulo,Oeste,6150
2023-07-01,São Paulo,Sul,5761.790714812085
