city_name,month,median_contract_rent_per_sqm,weighted_median_contract_rent_per_sqm,pct_income_region_bedrooms_category
Niterói,2022-11-01,20.81986101792237,21.94489747864611,0.4997809962
Niterói,2022-12-01,21.499974717071872,22.94465872053195,0.4997809962
Osasco,2019-06-01,37.71193788506401,39.47356060555689,0.4484136996
Osasco,2019-07-01,37.75425314124485,39.49673699794494,0.4484136996
Osasco,2019-08-01,36.473889746279305,37.9497250054985,0.4484136996
Osasco,2019-09-01,35.422604847131986,36.757808719025604,0.4484136996
Osasco,2019-10-01,34.80660968229251,36.02417182714794,0.4484136996
Osasco,2019-11-01,35.133991502225825,36.4519867740386,0.4484136996
Osasco,2019-12-01,34.039756222562666,35.20969963883702,0.4484136996
Osasco,2020-01-01,32.528767350612696,33.486099562033274,0.4484136996
Osasco,2020-02-01,31.863007581653847,32.61837792577833,0.4484136996
Osasco,2020-03-01,32.8521937104346,33.688966261485405,0.4484136996
Osasco,2020-04-01,33.79678371217141,34.75594931559673,0.4484136996
Osasco,2020-05-01,34.30225315604652,35.38311401858967,0.4484136996
Osasco,2020-06-01,33.40100960109157,34.37375342794234,0.4484136996
Osasco,2020-07-01,31.575619875815658,32.49691368616049,0.4484136996
Osasco,2020-08-01,30.368175550322093,31.214895123346388,0.4484136996
Osasco,2020-09-01,29.81425591803641,30.632449865685036,0.4484136996
Osasco,2020-10-01,30.52293025242048,31.339221490681584,0.4484136996
Osasco,2020-11-01,30.342930658695394,31.23906761661149,0.4484136996
Osasco,2020-12-01,31.354152007751324,32.39929702944496,0.4484136996
Osasco,2021-01-01,30.293827404711497,31.170187970809867,0.4484136996
Osasco,2021-02-01,30.793922951865866,31.607173534195727,0.4484136996
Osasco,2021-03-01,31.37039315917328,32.198934606091626,0.4484136996
Osasco,2021-04-01,33.29220940686519,34.382524281640784,0.4484136996
Osasco,2021-05-01,32.87863100301487,33.939426371132285,0.4484136996
Osasco,2021-06-01,32.12209497557398,33.01153634564072,0.4484136996
Osasco,2021-07-01,32.385732005963085,33.198910932906124,0.4484136996
Osasco,2021-08-01,34.05062029023512,35.092713245134654,0.4484136996
Osasco,2021-09-01,34.76721172866345,36.007374432217105,0.4484136996
Osasco,2021-10-01,34.40087619922171,35.724627563630314,0.4484136996
Osasco,2021-11-01,34.53487237077271,35.749221912955804,0.4484136996
Osasco,2021-12-01,34.76067625790943,35.881246637461885,0.4484136996
Osasco,2022-01-01,35.62127544670087,36.7641101851117,0.4484136996
Osasco,2022-02-01,35.765806334684136,36.869672094070054,0.4484136996
Osasco,2022-03-01,37.36901279784797,38.552766382130386,0.4484136996
Osasco,2022-04-01,37.164273122219235,38.1871160014945,0.4484136996
Osasco,2022-05-01,37.277056913699454,38.28344869425446,0.4484136996
Osasco,2022-06-01,36.69249027971011,37.74146016494778,0.4484136996
Osasco,2022-07-01,37.01485587837305,38.29956797748131,0.4484136996
Osasco,2022-08-01,37.36577663225464,38.66959206996646,0.4484136996
Osasco,2022-09-01,37.08856878028831,38.24110297666536,0.4484136996
Osasco,2022-10-01,37.08017776270461,37.98612891650134,0.4484136996
Osasco,2022-11-01,36.909698309288835,37.73536755512671,0.4484136996
Osasco,2022-12-01,37.561799714452135,38.45295634752674,0.4484136996
Rio de Janeiro,2019-06-01,29.993665760551014,32.470327465980475,0.5256798341
